name,price,rating,discount
3 Litres Whistling Gas & Stove Kettle,"4,833",0,0%
7 Litres Quality Stainless Steel Whistling Kettle,"11,500",0,15%
Electric Stainless Steel Hot Water Boiling Kettle Jug + KEY Holder,"7,500",0,0%
Russell Hobbs 1.7L Quiet Boil Electric Jug Kettle,"18,500",0,0%
Whistling Kettle (5.8Liters Non-Electrics),"11,500",4,0%
Air Conditioner Wind O Shield Anti Direct Blowing Baffle Def,"11,779",0,50%
Russell Hobbs Illuminating Glass Kettle - 1.7Litre,"27,999",0,26%
"Binatone CEJ-1780 Electric Jug - White,,,","18,500",5,0%
Auto Switch Electric Kettle Jug,"7,500",4,12%
Stainless Steel Whistling Kettle - 4.5Litre,"6,999",0,0%
Foldable Collapsible Eletric Camping Outdoor Kettle," - 10,000",5,53%
Mylong 5L Electric Stainless Kettle,"23,000",0,0%
Scarlett ELECTRIC HEAT KETTLE SC-1818,"5,999",0,54%
Electric Glass Kettle Blue LED 2.0L Illuminated Cordless Jug,"16,200",0,0%
"Russell Hobbs Luna Moonlight Cordless Electric Jug Kettle - Grey,","15,000",0,0%
1200ML 12V Car Travel Electric Heated Boiled Water Kett Gold,"12,219",0,50%
Kettle Water Boil Pot Foldable Electric Collapsible Camping Outdoor,"8,499",0,23%
3 Litres Whistling Gas & Stove Kettle,"4,999",0,0%
WHISTLING STOVE KETTLE. 5 Liters.,"7,800",0,28%
Flamberg 3L Stainless Steel Whistling Kettle - Red,"23,999",0,20%
I23 I25 Folding Compression Travel Portable Mini Insulation Electric Kettle,"32,429",0,50%
Eurosonic 2.2Liters Cordless Kettle,"8,500",5,0%
Kinelco 5.5liters Electric Kettle- (Boiler),"11,888",0,0%
Russell Hobbs Luna Moonlight Cordless Electric Jug Kettle - Grey,"15,990",0,0%
Haus Roland German Design Stainless Steel Whistling Kettle,"9,000",0,0%
Russell Hobbs Stainless 1.7L Quiet Boil Electric Jug Kettle,"22,000",0,12%
Century 4.3L Automatic Electric/Anti Rust Kettle,"13,299",4.5,34%
Dispenser Water Bucket  Dust Cover Container Bottle  Xmas Decor-fish,"8,329",0,50%
Master Chef 20L Electric Kettle,"34,500",5,31%
"Russell Hobbs Illuminating Filter Purity Electric Kettle 1.5 Lit, Plastic,","18,500",5,0%
Dispenser Water Bucket  Dust Cover Container Bottle  Xmas Decor-horse,"8,329",0,50%
450ml Car Heater Stainless Steel Cup 12v Travel Coffe Silver,"2,569",0,50%
Scarlett ELECTRIC HEAT KETTLE,"5,500",0,0%
600ml Thermal Stainless J Steel Pot Bottle Jug Water Tea Cof,"13,746",0,52%
Prima Whistling Kettle 3.5L Blue,"14,500",0,0%
3Litres Whistling Kettle,"10,499",4,0%
"Quality 11Liter Oven, Mixer And Chin Chin Cutter","46,500",0,4%
3 Litres Whistling Gas & Stove Kettle,"7,000",5,0%
Blender + Electric Kettle + Toaster,"18,999",0,0%
Quality 5.5L Electric Kettle Kinelco,"12,000",0,14%
"Russell Hobbs 21600 (1.7-Litre) Blue Illuminating Glass Kettle - Silver,","19,500",5,0%
Pyramid 5.0 Liter Automatic Electric Kettle,"12,000",0,20%
Brita Breville Brita  Kettle 1 Liter,"52,000",0,0%
Master Chef Electric Jug + Pressing Iron + Toaster Bundle,"19,500",0,15%
Electric Kettle 5.0-litres,"8,000",0,0%
"Breveille Portable Hotcup Counter Top Hot Water Dispenser,,","18,000",0,0%
Kinelco Whistling Kettle 5.8ltr,"12,000",0,0%
NewGain Cordless Electric Kettle 2.2L,"5,999",0,25%
Tower Empire 1.7L Cordless Jug Kettle - 3000W,"21,999",0,19%
Syinix Kettle-CLD 1701,"18,500",0,0%
Russell Hobbs Exquisite Legacy 1.7L Cordless Electric Kettle,"44,998",0,15%
Russell Hobbs 1.7L Quiet Boil Electric Jug Kettle,"19,500",0,11%
Kinelco 5.5 Litres Electric Kettle,"13,999",5,0%
Russell Hobbs Retro  Ribbon Red Kettle..,"21,000",0,0%
Electric Kettle-2.2L,"8,000",0,11%
Electric Water Heating Jug/Kettle,"7,999",0,6%
600ml Thermal Stainless Steel Pot Bottle Jug Water Tea C Red,"5,199",0,50%
Binatone Dependable Electric Kettle Stainless Steel - 5Litres - SSK-5005,"35,500",0,15%
3 Litres Whistling Gas & Stove Kettle,"4,611",0,0%
Tower Cavaletto 1.7L Fast Boil Pyramid Kettle -,"32,000",0,0%
"Morphy Richards Dimensions Cordless Electric Jug Cream - 1.5L, 3000W, Rapid Boil Kettle, 360 Degree Base With Cord Storage","16,999",0,0%
Portable Electric Kettle Water 12V /24V CAR VAN Lorry T Grey,"10,179",0,50%
Russel Hobbs Exotic Platinum 1.7 L Sleek Electric Jug Kettle,"25,500",5,7%
"Breville Electric Hot Cup Hot Water Dispenser, Fast Boil, 1.5 Litre,","25,000",0,9%
NewGain Cordless Electric Kettle 2.2L,"5,999",0,1%
Whistling Kettle 5.0litres,"9,800",5,0%
Russell Hobbs Purity Glass Kettle,"17,000",0,0%
6L Gold Plated Kettle,"6,000",0,0%
Stainless Steel Kettle 3Litre.,"5,000",2,0%
Binatone WATER KETTLE SSK-4005,"29,000",4,0%
Kinelco 5.5 Litres Electric Kettle,"25,000",0,0%
Kettle Water Boil Pot Foldable Electric Collapsible Camping Outdoor,"7,590",4.3,31%
3L Whistle Stainless Steel Kettle,"5,500",3.5,0%
Kitchen Aid 5.5 Liters ELECTRIC KETTLE,"14,530",0,27%
